BlockID,PLZ,Ort,Straße und Hausnummer (Standort Kraftwerk),Bundesland,Blockname,Nettoleistung
BNA0788,3185,Peitz,Kraftwerksstraße,Brandenburg,D,465.0
BNA0789,3185,Peitz,Kraftwerksstraße,Brandenburg,E,465.0
BNA0790,3185,Peitz,Kraftwerksstraße,Brandenburg,F,465.0
BNA0878,6258,Schkopau,,Sachsen-Anhalt,A,450.0
BNA0879,6258,Schkopau,,Sachsen-Anhalt,B,450.0
BNA0450,44655,Herne,Hertener Str. 16,Nordrhein-Westfalen,Herne 4,449.0
BNA0646a,68199,Mannheim,Marguerrestraße 1,Baden-Württemberg,Block 8,435.0
BNA0020,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT HKW 1,433.0
BNA0645,68199,Mannheim,Marguerrestraße 1,Baden-Württemberg,Block 7,425.0
BNA0216a,47180,Duisburg,Dr. Wilhelm-Roelen-Str.129,Nordrhein-Westfalen,Walsum 9,370.0
BNA0147,28777,Bremen,Wilhelmshavener Str. 6,Bremen,Farge,350.0
BNA0331,45896,Gelsenkirchen,,Nordrhein-Westfalen,C,345.0
BNA0332,45896,Gelsenkirchen,,Nordrhein-Westfalen,B,345.0
BNA0333,45896,Gelsenkirchen,,Nordrhein-Westfalen,D,345.0
BNA0334,45896,Gelsenkirchen,,Nordrhein-Westfalen,E,345.0
BNA0019,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT HKW 2 (DT Solobetrieb),336.0
BNA0969b,85774,Unterföhring,,Bayern,2,332.7
BNA0619,44537,Lünen,Moltkestr. 215,Nordrhein-Westfalen,Lünen 7,324.0
BNA0526,24149,Kiel,,Schleswig-Holstein,,323.0
BNA0990,46562,Voerde,Frankfurter Str. 430,Nordrhein-Westfalen,West 1,322.0
BNA1025,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,E,321.0
BNA1026,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,F,321.0
BNA0989,46563,Voerde,Frankfurter Str. 430,Nordrhein-Westfalen,West 2,318.0
BNA1037,58791,Werdohl,,Nordrhein-Westfalen,E4,310.0
BNA0146,28237,Bremen,Otavistr. 7-9,Bremen,Block 6,300.0
BNA0706,50129,Bergheim,,Nordrhein-Westfalen,F,299.0
BNA0705,50129,Bergheim,,Nordrhein-Westfalen,D,297.0
BNA0712,50129,Bergheim,,Nordrhein-Westfalen,C,295.0
BNA0713,50129,Bergheim,,Nordrhein-Westfalen,E,295.0
BNA0696,41517,Grevenbroich-Neurath,,Nordrhein-Westfalen,A,294.0
BNA0697,41517,Grevenbroich-Neurath,,Nordrhein-Westfalen,B,294.0
BNA0376,63538,Großkrotzenburg,,Hessen,3,293.0
BNA0698,41517,Grevenbroich-Neurath,,Nordrhein-Westfalen,C,292.0
BNA0313,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,P,284.0
BNA0413a,59071,Hamm-Uentrop,,Nordrhein-Westfalen,C,284.0
BNA0252,66806,Ensdorf,Kurt Kessler Str. 1,Saarland,Block 3,283.0
BNA0086,13599,Berlin,Großer Spreering 5,Berlin,Reuter West D,282.0
BNA0087,13599,Berlin,Großer Spreering 5,Berlin,Reuter West E,282.0
BNA0449,44654,Herne,Hertener Str. 16,Nordrhein-Westfalen,Herne 3,280.0
BNA0314,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,Q,278.0
BNA0644,68199,Mannheim,Marguerrestraße 1,Baden-Württemberg,Block 6,255.0
BNA0375,63538,Großkrotzenburg,,Hessen,1,249.0
BNA0999,66333,Völklingen-Fenne,Saarbrücker Straße 135-137,Saarland,HKV,211.0
BNA0642,68199,Mannheim,Marguerrestraße 1,Baden-Württemberg,Block 3,202.5
BNA0643,68199,Mannheim,Marguerrestraße 1,Baden-Württemberg,Block 4,202.5
BNA0402,22113,Hamburg,Andreas-Meyer-Straße 8,Hamburg,Tiefstack,194.0
BNA1035,58791,Werdohl,,Nordrhein-Westfalen,E3,186.0
BNA0998,66333,Völklingen-Fenne,Saarbrücker Straße 135-137,Saarland,MKV,179.0
BNA0081,10317,Berlin,Köpenicker Chaussee 42 - 45 ,Berlin,Klingenberg,164.0
BNA0414,59071,Hamm-Uentrop,,Nordrhein-Westfalen,A,152.0
BNA0415,59071,Hamm-Uentrop,,Nordrhein-Westfalen,B,152.0
BNA0618,44536,Lünen,Moltkestr. 215,Nordrhein-Westfalen,Lünen 6,149.0
BNA0310,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,M,138.0
BNA0404,22880,Wedel,Tinsdaler Weg 146,Schleswig-Holstein,Wedel 1,137.0
BNA0420,30419,Hannover,,Niedersachsen,Block1,136.0
BNA0421,30419,Hannover,,Niedersachsen,Block2,136.0
BNA0308,41517,Frimmersdorf,,Nordrhein-Westfalen,K,136.0
BNA1022,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,D,135.0
BNA0309,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,N,135.0
BNA0212,47053,Duisburg,Zirkelstraße,Nordrhein-Westfalen,HKW II/B,133.0
BNA0312,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,O,133.0
BNA0447,44653,Herne,Hertener Str. 16,Nordrhein-Westfalen,Herne 2,133.0
BNA0306,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,F,132.0
BNA0311,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,L,131.0
BNA0303,41517,Frimmersdorf,,Nordrhein-Westfalen,D,130.0
BNA0305,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,E,130.0
BNA0302,41517,Frimmersdorf,,Nordrhein-Westfalen,C,129.0
BNA0215,47179,Duisburg,Dr. Wilhelm-Roelen-Str.129,Nordrhein-Westfalen,Walsum 7,129.0
BNA0307,41517,Frimmersdorf,,Nordrhein-Westfalen,I,128.0
BNA0145,28237,Bremen,Otavistr. 7-9,Bremen,Block 5,127.0
BNA0710,50129,Bergheim,,Nordrhein-Westfalen,B,125.0
BNA0711,50129,Bergheim,,Nordrhein-Westfalen,A,125.0
BNA0432,74076,Heilbronn,Lichtenbergerstraße 23,Baden-Württemberg,HLB 5,125.0
BNA0433,74076,Heilbronn,Lichtenbergerstraße 23,Baden-Württemberg,HLB 6,125.0
BNA0082,13599,Berlin,Otternbuchtstr. 11,Berlin,Reuter C,124.0
BNA0304,41517,Frimmersdorf,,Nordrhein-Westfalen,G,124.0
BNA0403,22880,Wedel,Tinsdaler Weg 146,Schleswig-Holstein,Wedel 2,123.0
BNA1021,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,C,123.0
BNA0144,28207,Bremen,Hastedter Osterdeich 255,Bremen,Block 15,119.0
BNA0189,45711,Datteln,,Nordrhein-Westfalen,3,113.0
BNA0292,50226,Frechen,,Nordrhein-Westfalen,Frechen/Wachtberg,110.0
BNA0557b,47812,Krefeld-Uerdingen,"CHEMPARK, Geb. N 230",Nordrhein-Westfalen,,110.0
BNA0253,66806,Ensdorf,Kurt-Kessler-Str.,Saarland,Block 1,106.0
BNA0600b,51368,Leverkusen,"CHEMPARK, Geb. G 22",Nordrhein-Westfalen,,103.0
BNA0211,47053,Duisburg,Zirkelstraße,Nordrhein-Westfalen,ZAWSF,95.0
BNA0187,45711,Datteln,,Nordrhein-Westfalen,1,95.0
BNA0188,45711,Datteln,,Nordrhein-Westfalen,2,95.0
BNA0179,9116,Chemnitz,,Sachsen,Block C,90.8
BNA0085a,13353,Berlin,Friedrich-Krause-Ufer 10- 15,Berlin,Moabit A,89.0
BNA1084,42117,Wuppertal,,Nordrhein-Westfalen,Block 3,85.0
BNA0543,50769,Köln,,Nordrhein-Westfalen,Block 6,75.3
BNA0183,3052,Cottbus,,Brandenburg,1,74.0
BNA0489,50354,Hürth,,Nordrhein-Westfalen,E,66.0
BNA0289b,60627,Frankfurt am Main,Gutleutstraße 231,Hessen,Block 2,61.5
BNA0290,60627,Frankfurt am Main,Gutleutstraße 231,Hessen,Block 3,61.5
BNA0177,9115,Chemnitz,,Sachsen,Block B,56.8
BNA0758,63067,Offenbach,,Hessen,,54.0
BNA0194,6842,Dessau-Roßlau,,Sachsen-Anhalt,,49.0
BNA0284,15236,Frankfurt Oder,,Brandenburg,Block1-GuD-EK,45.0
BNA0490b,50354,Hürth,,Nordrhein-Westfalen,F,45.0
BNA0138,38106,Braunschweig,,Niedersachsen,Block 1 ,43.3
BNA0490a,50354,Hürth,,Nordrhein-Westfalen,F,40.0
BNA0273,24939,Flensburg,Batteriestr. 48,Schleswig-Holstein,Block 8,35.0
BNA0523,34134,Kassel,,Hessen,,33.5
BNA0272,24939,Flensburg,Batteriestr. 48,Schleswig-Holstein,Block 9,33.0
BNA0271,24939,Flensburg,Batteriestr. 48,Schleswig-Holstein,Block 10,29.0
BNA0270,24939,Flensburg,Batteriestr. 48,Schleswig-Holstein,Block 11,27.0
BNA0801,75175,Pforzheim,Hohwiesenweg 15,Baden-Württemberg,Wirbelschichtblock,26.9
BNA0557a,47812,Krefeld-Uerdingen,"CHEMPARK, Geb. L 57",Nordrhein-Westfalen,,26.0
BNA0274,24939,Flensburg,Batteriestr. 48,Schleswig-Holstein,Block 7,23.0
BNA0261b,91052,Erlangen, Äußere Bruckerstr. 33,Bayern,K6 DT2,17.4
BNA0714,50129,Bergheim,,Nordrhein-Westfalen,Fortuna Nord,15.0
BNA0510b,67655,Kaiserslautern,,Rheinland-Pfalz,20,13.4
BNA0005,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT A,37.5
BNA0006,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT B,37.5
BNA0007,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT C,37.5
BNA0008,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT D,37.5
BNA0012b,31061,Alfeld,Mühlenmarsch 1,Niedersachsen,Gaskraftwerk,20.0
BNA0015,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT GT E (solo),65.0
BNA0016,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT GT A (Solo),50.0
BNA0017,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT GT B,57.0
BNA0018,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT GT C,81.0
BNA0025,17389,Anklam,Bluthsluster Str. 24,Mecklenburg-Vorpommern,,15.1
BNA1458,76855,Annweiler,Wasgaustraße 5,Rheinland-Pfalz,,28.0
BNA1331,59821,Arnsberg,Hellefelderstr. 51,Nordrhein-Westfalen,HD - Kraftwerk,19.0
BNA1337e,63741,Aschaffenburg,Weichertstr. 7,Bayern,GuD-Anlage,47.0
BNA1103,86153,Augsburg,Georg-Heindl-Strasse 4,Bayern,Dampfturbine 3,29.0
BNA0033,86165,Augsburg ,Beim Grenzgraben 10,Bayern,GT,28.8
BNA1104,86152,Augsburg ,Franziskanergasse 9,Bayern,T2,18.0
BNA1507,55543,Bad Kreuznach,Michelinstr. 1,Rheinland-Pfalz,,10.7
BNA1105,36433,Bad Salzungen,,Thüringen,HKW Bad Salzungen,9.7
BNA0051,39249,Barby,Monplaisirstr. 22,Sachsen-Anhalt,-,17.8
BNA0059b,34225,Baunatal,,Hessen,,78.0
BNA1293a,50127,Bergheim,Kölner Straße 110,Nordrhein-Westfalen,K1/TG1,10.0
BNA1293b,50127,Bergheim,Kölner Straße 110,Nordrhein-Westfalen,K2/TG2,10.0
BNA1293c,50127,Bergheim,Kölner Straße 110,Nordrhein-Westfalen,K3+4/TG4,3.0
BNA0073,10179,Berlin,Köpenicker Straße 60,Berlin,GuD Mitte,444.0
BNA0074,10589,Berlin,Am Spreebord 5,Berlin,Charlottenburg,211.0
BNA0075,12207,Berlin,Ostpreußendamm 61,Berlin,Lichterfelde 1,144.0
BNA0076,12207,Berlin,Ostpreußendamm 61,Berlin,Lichterfelde 3,144.0
BNA0088a,6406,Bernburg,,Sachsen-Anhalt,,66.0
BNA0098,33611,Bielefeld,,Nordrhein-Westfalen,,23.0
BNA0100,33697,Bielefeld,,Nordrhein-Westfalen,GuD,37.5
BNA0101,33611,Bielefeld,,Nordrhein-Westfalen,,41.0
BNA0105,6749,Bitterfeld,,Sachsen-Anhalt,,106.0
BNA0110,44799,Bochum,,Nordrhein-Westfalen,KBO,20.7
BNA0111,44805,Bochum,,Nordrhein-Westfalen,,44.0
BNA1524,29699,Bomlitz,"Industriepark Walsrode, 
August-Wolff-Str. 13",Niedersachsen,,22.1
BNA0117b,53115,Bonn,,Nordrhein-Westfalen,Heizkraftwerk Karlstraße,95.0
BNA0129,14772,Brandenburg,,Brandenburg,,36.0
BNA0130,14774,Brandenburg,,Brandenburg,,160.0
BNA0135,38106,Braunschweig,,Niedersachsen,Block 12,20.0
BNA0136,38106,Braunschweig,,Niedersachsen,GuD,74.0
BNA0137,38112,Braunschweig,,Niedersachsen,GT,25.0
BNA0140,28207,Bremen,Hastedter Osterdeich 255,Bremen,Block 14,155.0
BNA1334,28237,Bremen,Waterbergstraße 14,Bremen,"GT 1-3, DT",14.8
BNA1820,28237,Bremen,,Bremen,GuD MiBÜ,444.5
BNA1671,26954,Bremerhaven,,Niedersachsen,,17.1
BNA1117,64747,Breuberg,Höchster Str. 48-60,Hessen,,11.4
BNA0156b,59929,Brilon ,Im Kissen 19,Nordrhein-Westfalen,Gasturbinen - KWK - Anlage,13.5
BNA0157,25576,Brokdorf,,Schleswig-Holstein,KBR,1410.0
BNA0172a,84489,Burghausen,Johannes-Hess Straße 24,Bayern,,120.0
BNA0172b,84489,Burghausen,,Bayern,,50.0
BNA0174,84508,Burgkirchen,,Bayern,,47.5
BNA1120,44579,Castrop-Rauxel,Kekulestraße 30,Nordrhein-Westfalen,Gasturbine,10.2
BNA1121,44579,Castrop-Rauxel,Kekulestraße 30,Nordrhein-Westfalen,Energiecenter,0.9
BNA0178,9114,Chemnitz,,Sachsen,Block A,57.2
BNA1487,64293,Darmstadt,Frankfurter Str. 100,Hessen,,94.6
BNA1125,64293,Darmstadt ,Frankfurter Str. 250,Hessen,GT,10.0
BNA1127,84130,Dingolfing,Landshuter Straße 56,Bayern,GT1,6.7
BNA1128,84130,Dingolfing,Landshuter Straße 56,Bayern,GT2,6.7
BNA0199,41539,Dormagen,,Nordrhein-Westfalen,GuD,586.3
BNA0202,44143,Dortmund,,Nordrhein-Westfalen,KDO,26.0
BNA0207,1169,Dresden ,Oederaner Str. 21 - 25,Sachsen,"HKW Dresden-Nossener Brücke 
(3 GT + 1 DT, Sammelschiene)",263.0
BNA1451,47198,Duisburg,Dr.-Rudolf-Sachtleben-Str. 4,Nordrhein-Westfalen,,27.5
BNA0213,47249,Duisburg,Wanheimer Straße 439-454,Nordrhein-Westfalen,HKW III/A,40.0
BNA0214,47249,Duisburg,Wanheimer Straße 439-454,Nordrhein-Westfalen,HKW III/B,234.0
BNA1511a,52355,Düren,Kreuzauer Str. 18,Nordrhein-Westfalen,,9.3
BNA1131,52349,Düren,Veldener Strasse 121 - 131,Nordrhein-Westfalen,,14.0
BNA1511b,52355,Düren,Kreuzauer Str. 18,Nordrhein-Westfalen,,2.9
BNA0220,40221,Düsseldorf,Auf der Lausward 75,Nordrhein-Westfalen,AGuD,100.0
BNA0221a,40221,Düsseldorf,Auf der Lausward 75,Nordrhein-Westfalen,Block E GTE2,64.7
BNA0221b,40221,Düsseldorf,Auf der Lausward 75,Nordrhein-Westfalen,Block E GTE1,66.7
BNA0221c,40221,Düsseldorf,Auf der Lausward 75,Nordrhein-Westfalen,Block E,293.0
BNA1336,40589,Düsseldorf,Henkelstr. 67,Nordrhein-Westfalen,,84.0
BNA1503,40476,Düsseldorf,Rather Str. 51,Nordrhein-Westfalen,,16.9
BNA1817,40221,Düsseldorf,Auf der Lausward 75,Nordrhein-Westfalen,GuD F,595.0
BNA0232c,89584,Ehingen,Kessel 6 - Turbine 4,Baden-Württemberg,,4.0
BNA0233,4838,Eilenburg,Am Schanzberg 1,Sachsen,,46.6
BNA1505,99817,Eisenach,Adam-Opel-Str.,Thüringen,,22.1
BNA0239,26931,Elsfleth,,Niedersachsen,,321.0
BNA0243,97483,Eltmann,Industriestraße 23,Bayern,,57.0
BNA0245a,26725,Emden,,Niedersachsen,Gasturbine,52.0
BNA0245b,26725,Emden,,Niedersachsen,Dampfturbine,433.0
BNA0251,31857,Emmerthal,,Niedersachsen,KWG,1360.0
BNA0255,99085,Erfurt,,Thüringen,,11.0
BNA0256a,99087,Erfurt,,Thüringen,,76.5
BNA0256b,99087,Erfurt,,Thüringen,Linie 3,32.6
BNA1138,40699,Erkrath,Klinkerweg 4,Nordrhein-Westfalen,"Module 1, 2 und 3",10.2
BNA0261a,91052,Erlangen, Äußere Bruckerstr. 33,Bayern,GuD I,21.6
BNA0261c,91052,Erlangen, Äußere Bruckerstr. 33,Bayern,GuD 2,6.7
BNA1023,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,G_VGT,272.0
BNA1024,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,H_VGT,272.0
BNA0263,84051,Essenbach,,Bayern,KKI 2,1410.0
BNA1141,53879,Euskirchen,Bonner Strasse 2,Nordrhein-Westfalen,Kessel 4 / 6,14.5
BNA1819,24939,Flensburg,Batteriestr. 48,Schleswig-Holstein,Block 12,75.0
BNA0285,60528,Frankfurt am Main,Lyoner Straße  8,Hessen,Block 1,70.0
BNA0286,60627,Frankfurt am Main,Gutleutstraße 231,Hessen,Block 4,99.0
BNA0288,60528,Frankfurt am Main,Lyoner Straße  9,Hessen,Block 2,56.0
BNA1541,9599,Freiberg,,Sachsen,,13.4
BNA0293,79108,Freiburg,,Baden-Württemberg,GuD Anlage,60.1
BNA1315,79106,Freiburg,Hartmannstrasse 1,Baden-Württemberg,HKW,27.0
BNA1492a,36039,Fulda,Hermann-Muth-Str. 6,Hessen,,26.2
BNA1492b,36039,Fulda,Hermann-Muth-Str. 6,Hessen,,8.0
BNA0336,45896,Gelsenkirchen,,Nordrhein-Westfalen,,70.0
BNA0343,7546,Gera,Siemensstraße 45,Thüringen,,74.0
BNA0354,37075,Göttingen,Rudolf-Diesel-Straße 1,Niedersachsen,,18.8
BNA0360,17489,Greifswald,,Mecklenburg-Vorpommern,Gasturbine,14.7
BNA0361,79639,Grenzach-Wyhlen,,Baden-Württemberg,,40.0
BNA0374,63538,Großkrotzenburg,,Hessen,4,622.0
BNA0381,89355,Gundremmingen,,Bayern,B,1284.0
BNA0382,89355,Gundremmingen,,Bayern,C,1288.0
BNA0386,33334,Gütersloh,Carl Bertelsmann Straße 161,Nordrhein-Westfalen,,22.0
BNA0389,58099,Hagen,,Nordrhein-Westfalen,H4/5,230.0
BNA0392a,6130,Halle,,Sachsen-Anhalt,Block A und B,97.0
BNA0392b,6130,Halle,,Sachsen-Anhalt,GuD,54.0
BNA0400,22113,Hamburg,Andreas-Meyer-Straße 8,Hamburg,GuD Tiefstack,127.0
BNA0401,21107,Hamburg,Nippoldstr. 117,Hamburg,HKW,22.5
BNA0410,59071,Hamm,Trianelstraße 1,Nordrhein-Westfalen,Block 10,417.1
BNA0411,59071,Hamm,Trianelstraße 1,Nordrhein-Westfalen,Block 20,420.9
BNA0418,30169,Hannover,,Niedersachsen,GKL,230.0
BNA0419,30419,Hannover,,Niedersachsen,B,102.0
BNA1810,30659,Hannover,Riethorst 12,Niedersachsen,,30.2
BNA1151,69120,Heidelberg,Neuenheimer Feld 530,Baden-Württemberg,,13.5
BNA1292a,89522,Heidenheim,Alexanderstr. 8,Baden-Württemberg,Kessel-Turbine,11.1
BNA1292b,89522,Heidenheim,Alexanderstr. 8,Baden-Württemberg,BHKW-Anlage,18.9
BNA0439,38350,Helmstedt,,Niedersachsen,D,352.0
BNA0442,58313,Herdecke,,Nordrhein-Westfalen,H6,417.0
BNA0444,36266,Heringen,,Hessen,Wintershall,109.5
BNA1463,37412,Herzberg,Andreasberger Str. 1,Niedersachsen,,19.5
BNA1499,31249,Hohenhameln,Zuckerfabrik 3,Niedersachsen,,15.8
BNA0464,31249,Hohenhameln OT Mehrum,,Niedersachsen,Block3,690.0
BNA0491,50354,Hürth,,Nordrhein-Westfalen,Ville/Berrenrath,55.0
BNA0548a,50351,Hürth-Knapsack,,Nordrhein-Westfalen,,800.0
BNA0548b,50351,Hürth-Knapsack,,Nordrhein-Westfalen,,430.0
BNA0497,65926,Industriepark Höchst,,Hessen,,96.5
BNA0499,65926,Industriepark Höchst,,Hessen,Block A,86.0
BNA0498,65926,Industriepark Höchst,,Hessen,Block B,66.0
BNA0504,7749,Jena,,Thüringen,HKW Jena,182.0
BNA1164,52428,Jülich,Dürenerstr. 20,Nordrhein-Westfalen,Kessel 5,24.6
BNA0510a,67655,Kaiserslautern,,Rheinland-Pfalz,10,11.6
BNA1165,47546,Kalkar,Reeser Str 280-300,Nordrhein-Westfalen,Lentjes-Kessel,11.4
BNA0514,76189,Karlsruhe,Fettweisstraße 42,Baden-Württemberg,RDK 4S,353.0
BNA0515,76189,Karlsruhe,,Baden-Württemberg,T3,37.0
BNA0521,34134,Kassel,,Hessen,,50.0
BNA1528,47906,Kempen,,Nordrhein-Westfalen,,13.2
BNA0527,24116,Kiel,,Schleswig-Holstein,,31.0
BNA0531,32278,Kirchlengern,,Nordrhein-Westfalen,,201.5
BNA1506,39164,Klein Wanzleben,Magdeburger Landstraße 1 bis 5,Sachsen-Anhalt,,23.4
BNA0544,50677,Köln,,Nordrhein-Westfalen,GuD,35.0
BNA0545,50735,Köln,,Nordrhein-Westfalen,GuD,413.0
BNA0546,50769,Köln,,Nordrhein-Westfalen,GuD,108.0
BNA1182,50769,Köln,,Nordrhein-Westfalen,Block 4,15.5
BNA1183,51109,Köln,,Nordrhein-Westfalen,GuD,15.8
BNA1818,50735,Köln,,Nordrhein-Westfalen,Niehl 31,459.9
BNA1185,6420,Könnern,An den Sieben Stücken,Sachsen-Anhalt,Kessel 1 und 2,20.3
BNA0556a,47809,Krefeld,Düsseldorfer Str. 191,Nordrhein-Westfalen,Dampfturbine,25.8
BNA0556b,47809,Krefeld,Düsseldorfer Str. 191,Nordrhein-Westfalen,Gasmotor (Dieselgenerator),14.0
BNA1502,47804,Krefeld,,Nordrhein-Westfalen,,12.6
BNA1329,9648,Kriebstein,Bauhofstr. 1,Sachsen,GT / GDT,12.8
BNA1450,29331,Lachendorf,Georg-Drewsen-Weg 2,Niedersachsen,,13.0
BNA1187,32791,Lage,Heidensche Str. 70,Nordrhein-Westfalen,Kessel 1/2/3,10.2
BNA0574a,31628,Landesbergen,,Niedersachsen,Gasturbine,56.0
BNA0588,4105,Leipzig,,Sachsen,,167.0
BNA1658,32657,Lemgo,Bruchweg 24,Nordrhein-Westfalen,,11.3
BNA1193,32657,Lemgo ,Liemer Weg 71,Nordrhein-Westfalen,,12.8
BNA1556,1454,Leppersdorf,An den Breiten,Sachsen,,36.0
BNA0592,6237,Leuna,,Sachsen-Anhalt,,52.0
BNA0593,6237,Leuna,,Sachsen-Anhalt,GT1,35.0
BNA0594,6237,Leuna,,Sachsen-Anhalt,GT2,35.0
BNA0595,6237,Leuna,,Sachsen-Anhalt,GT3,37.0
BNA0600a,51368,Leverkusen,"CHEMPARK, Geb. X 50",Nordrhein-Westfalen,,27.0
BNA0602,49811,Lingen,,Niedersachsen,C1,116.0
BNA0603,49811,Lingen,,Niedersachsen,B1,116.0
BNA0604,49811,Lingen,,Niedersachsen,B2,359.0
BNA0605,49811,Lingen,,Niedersachsen,C2,359.0
BNA0606,49811,Lingen,,Niedersachsen,D,887.0
BNA1509,49808,Lingen,Raffineriestrasse,Niedersachsen,,66.0
BNA0607,49811,Lingen,,Niedersachsen,KKE,1336.0
BNA1531,17509,Lubmin,,Mecklenburg-Vorpommern,,37.7
BNA0614a,67056,Ludwigshafen,A 855,Rheinland-Pfalz,GT 1,43.0
BNA0614b,67056,Ludwigshafen,A 800,Rheinland-Pfalz,"GUD A 800 
GT 11, GT 12, DT 10",490.0
